אֵב	ev
הִצְחִיק	hitskhik
הִצְטַבְרֵחַ	hitstavreakh
הִצְטַחֵק	hitstakhek
הִצְטַלֵּם	hitztalem
הִצְטַנֵּן	hitstanen
הִצִּיג	hitsig
הִצִּיל	hitsil
הַצִּילוּ	hatzilu
הַצִּילֵנוּ	hatsilenu
הִצִּילָנוּ	hitsilanu
הִצִּיעַ	hitsia
הֵצִיץ	heitsits
הִצִּית	hitsit
הֻצַּל	hutsal
הַצָּלָה	hatsala
הַצְלָחָה	hatzlakha
הִצְלִיחַ	hitzliakh
הַצָּעָה	hatsaa
הַצְרָנָה	hatsrana
הִקְבִּיל	hikbil
הַקָּדוֹשׁ בָּרוּךְ הוּא	haqqados baruk hu
הִקְדִּישׁ	hikdish
הִקְהִיל	hikhil
הַקְהֵל	hak-hel
הַקֹּטֶב	hakotev
הִקְטִין	hiktin
הֵקִים	heikim
הֵקִימוּ	heikimu
הִקִּיף	hikif
הֲקַלָּה	hakala
הֲקָלָה	hakala
הַקַּלָּה	hakala
הִקְלִיד	hiklid
הִקְלִיק	hiklik
הֲקָמָה	hakama
הִקְסִים	hiksim
הֻקַּף	hukaf
הַקְפָּאָה	hakpaa
הִקְפִּיא	hikpi
הֵקֵר	heker
הִקְרִיא	hikri
הִקְרִיס	hikris
הִקְשִׁיב	hikshiv
הַקַּשׁ שֶׁשָּׁבַר אֶת גַּב הַגָּמָל	hakash sheshavar et gav hagamal
‎הַר‎	har
הֶרְאָה	hera
הָרִאשׁוֹן	harishon
הַרְבֵּה	harbe
הִרְבָּה	hirba
הָרַג	harag
הֶרֶג	hereg
הִרְגִּיעַ	hirgia
הִרְגִּישׁ	hirgish
הַרְגָּשָׁה	hargasha
הָרָה	hara
הָרֶה	hare
הַר הָאֱלֹהִים	har haelohim
הָרוּג	harug
הִרְוִיחַ	hirviakh
הֵרוֹן	heron
הִרְחִיב	hirkhiv
הִרְחִיק	hirkhik
הִרְטִיב	hirtiv
הָרֵי	hare
הֲרֵי	harei
הֵרָיוֹן	herayon
הֵרִיחַ	heriakh
הָרִים	harim
הֵרִים	herim
הֲרִיסָה	harisa
הִרְכִּיב	hirkiv
הַר מְגִדּוֹ	har megiddo
הָרַס	haras
הֶרֶס	heres
הֵרֵס	heres
הֹרַס	horas
הר סיני	har sinay
הִרְעִיל	hiril
הֻרְעַל	hural
הַרְצָאָה	hartsaa
הִרְצָה	hirtsa
הֶרְצֵלִיָּה	hertseliyya
הֲרָרִים	hararim
הִרְשָׁה	hirsha
הִרְשִׁים	hirshim
הַר שֻׁלְחָן	har shulkhan
הָשֵׁב	hashev
הַשׁוֹאָה	ha-shoa
הַשְׁוָאָה	hashvaa
הִשְׁוָה	hishva
הַשּׁוֹמְרוֹן	hashomron
הֵשִׁיב	heshiv
הִשִּׂיג	hisig
הַשְׂכָּלָה	haskala
הֻשְׁלַט	hushlat
הִשְׁלִיט	hishlit
הִשְׁלִיךְ	hishlikh
הַשְׁלִיכֵהוּ	hashlichehu
הִשְׁלִים	hishlim
הַשֵּׁם	hashem
הִשְׁמִיד	hishmid
הִשְׁמִין	hishmin
הִשְׁמִיעַ	hishmia
הִשְׁפִּיל	hishpil
הִשְׁפִּיעַ	hishpia
הַשְׁפָּעָה	hashpaa
הִשְׁקָה	hishka
הִשְׁקִיעַ	hishkia
הַשְׁקָעָה	hashkaa
הִשְׁתַּגֵּעַ	hishtagea
הִשְׁתַּדֵּל	hishtadel
הִשְׁתּוֹחֵחַ	hishtokheakh
הִשְׁתַּזֵּף	hishtazef
הִשְׁתַּחֲוָה	hishtakhava
הִשְׁתַחְרֵר	hishtakhrer
הִשְׁתִּיל	histil
הִשְׁתִּין	hishtin
הִשְׁתִּיק	hishtik
הִשְׁתַּכְנֵעַ	hishtachnea
הִשְׁתַּכֵּר	hishtaker
הִשְׂתַּכֵּר	histaker
הִשְׁתַּלֵּחַ	hishtaleakh
הִשְׁתַּלֵּט	hishtalet
הִשְׁתַּמֵּר	hishtamer
הִשְׁתַּמֵּשׁ	hishtamesh
הִשְׁתַּפֵּר	hishtaper
הִשְׁתַּתֵּף	hishtatef
הִתְאַבֵּד	hitabed
הִתְאַבֵּךְ	hitabekh
הִתְאַבֵּל	hitabel
הִתְאַדָּה	hitada
הִתְאַהֵב	hitahev
הִתְאוֹשֵׁשׁ	hitoshesh
הִתְאַזֵּן	hitazen
הִתְאַזְרֵחַ	hitazreakh
הִתְאַכְזֵב	hitakhzev
הִתְאַמֵּץ	hitamatz
הִתְאַסֵּף	hitasef
הִתְבַּדֵּחַ	hitbadeakh
הִתְבּוֹדֵד	hitboded
הִתְבַּזְבֵּז	hitbazbez
הִתְבַּטֵּא	hitbate
הִתְבַּטְּאוּת	hitbatut
הִתְבַּלְבֵּל	hitbalbel
הִתְבַּלָּה	hitbala
הִתְבַּשֵּׁל	hitbashel
הִתְגַּבֵּר	hitgaber
הִתְגַּיֵּס	hitgayes
הִתְגַּיֵּר	hitgayer
הִתְגַּלְגֵּל	hitgalgel
הִתְגַּלָּה	hitgala
הִתְגַלֵּחַ	hitgaleach
הִתְגַּעֲגֵעַ	hitgaagea
הִתְגָּרֵשׁ	hitgaresh
הִתְוַדֵּעַ	hitvadea
הִתְוַכֵּחַ	hitvakeach
הִתְחַבֵּא	hitkhabe
הִתְחַבֵּר	hitkhaber
הִתְחַיְּבוּת	hitkhayvut
הִתְחִיל	hitkhil
הַתְחָלָה	hatkhala
הַתְחָלוֹת	hatkhalot
הִתְחַמֵּם	hitchamem
הִתְחַנֵּךְ	hitkhanekh
הִתְטַגֵּן	hitagen
הִתְיַבֵּשׁ	hityabesh
הִתִּיז	hitiz
הִתְיַחֵס	hityakhes
הִתְיָעֲצוּת	hityaatsut
הִתְיַקֵּר	hityaker
הִתְיַקְּרוּת	hityakrut
הִתִּיר	hitir
הִתִּישׁ	hitish
הִתְיַשֵּׁב	hityashev
הִתְכַּוֵּן	hitkaven
הִתְכּוֹנֵן	hitkonen
הִתְכּוֹפֵף	hitkofef
הִתְכַּנֵּס	hitkanes
הִתְכַּנְּסוּת	hitkansut
הִתְכַּתֵּב	hitkatev
הִתְלַבֵּשׁ	hitlabesh
הִתְלַהֲבוּת	hitlahavut
הִתְלוֹנֵן	hitlonen
הִתְלַכְלֵךְ	hitlachlech
הִתְמַהְמֵהַּ	hitmahmeah
הִתְמוֹדֵד	hitmoded
הִתְמַכֵּר	hitmaker
הִתְמַכְּרוּת	hitmakrut
הִתְמַלֵּא	hitmale
הִתְמַצֵּא	hitmatse
הִתְנַבֵּא	hitnabe
הִתְנַגֵּד	hitnaged
הִתְנַגְּדוּת	hitnagdut
הִתְנַדֵּב	hitnadev
הִתְנֻדַּב	hitnudav
הִתְנַהֵג	hitnaheg
הִתְנַהֲגוּת	hitnahagut
התנ״ך	hatanakh
הִתְנַכֵּר	hitnaker
הִתְנַסָּה	hitnasa
הִתְנַעֵר	hitnaer
הִתְנַפֵּל	hitnapel
הִתְנַצֵּל	hitnatsel
הִתְנַקֵּשׁ	hitnakesh
הִתְנַקְּשׁוּת	hitnaqshut
הִתְנַשֵּׁק	hitnashek
הִתְעוֹרֵר	hitorer
הִתְעַטֵּף	hitatef
הִתְעַלָּה	hitala
הִתְעַלֵּל	hitalel
הִתְעַלְּלוּת	hitallut
הִתְעַלֵּף	hitalef
הִתְעַצֵּל	hitatsel
הִתְעַקֵּשׁ	hitakesh
הִתְעָרֵב	hitarev
הִתְפּוֹצֵץ	hitpotsets
הִתְפַּטֵּר	hitpater
הִתְפֻּטַּר	hitputar
הִתְפַּלֵּא	hitpale
הַתְפָּלָה	hatpala
הִתְפַּלֵּל	hitpalel
הִתְפַסְפֵס	hitfasfes
הִתְפָּרֵד	hitpared
הִתְפַּרְסֵם	hitparsem
הִתְפַּשֵּׁט	hitpashet
הִתְפַּתָּה	hitpata
הִתְפַּתְּחוּת	hitpatkhut
הִתְקַבֵּל	hitkabel
הִתְקַדֵּם	hitkadem
הִתְקַדֵּשׁ	hitkadesh
הִתְקַהֵל	hitkahel
הִתְקוֹמֵם	hitkomem
הִתְקוֹמְמוּת	hitkomemut
הִתְקִיף	hitkif
הִתְקַלֵּחַ	hitkaleach
הִתְקַלְקֵל	hitkalkel
הִתְקַמֵּט	hitkamet
הִתְקַנֵּא	hitkane
הֻתְקַף	hutkaf
הַתְקָפָה	hatkafa
הִתְקָרֵב	hitkarev
הִתְקָרֵחַ	hitkareakh
הִתְקָרְחוּת	hitkarkhut
הִתְקַשֵּׁר	hitkasher
הַתְרָאָה	hatraa
הִתְרָאָה	hitraa
הִתְרַבָּה	hitraba
הִתְרַגֵּז	hitragez
הִתְרַגֵּל	hitragel
הִתְרַגְּשׁוּת	hitragshut
הִתְרוֹמֵם	hitromem
הִתְרוֹקֵן	hitroken
הִתְרַחֵץ	hitrakhetz
הִתְרַחֵשׁ	hitrakhesh
הִתְרַפֵּא	hitrape
־וֹ	-o
־וּ	-u
וְ־	v-
וְ	vo
וַאלְלָה	walla
וְאָמַר	vamar
וָאֹמַר	vaomar
וְאָמְרוּ	vamru
וְאָמַרְתְּ	vamart
וְאָמַרְתָּ	vamarta
וְאָמַרְתִּי	vamarti
וַאֲמַרְתֶּם	vaamartem
וְאָסַפְתָּ	vasafta
וָאֵרֵד	vaered
וּבָאת	uvat
וּבָאתָ	uvata
וּבְכֵן	uvkhen
וַדָּאִי	vadai
וַדַּאי	vaday
וְדִבֶּר	vdiber
וְדִבַּרְתָּ	vdibarta
וְהוֹרֵיתִי	vhoreti
וְהוֹרֵיתִיךָ	vhoreticha
וְהָיָה	vhaya
וְהָיוּ	vhayu
וְהִכֵּיתִי	vhiketi or vhiketi
וָ״ו	vav
וָו	vav
וואו	wau
ווֹדְקָה	vodka
ווֹלְקָנִי	volkani
ווּסווּסִים	vusvusim
וֵטוֹ	veto
וַיַּאֲמֵן	vayaamen
וַיֹּאמֶר	vayomer
וַיֹּאמְרוּ	vayomru
וַיֵּאָנְחוּ	vayeanchu
וַיָּבֵא	vayave
וַיָּבֹא	vayavo
וַיָּבִאוּ	vayaviu
ויבאו	vayavo
וַיָּבֹאוּ	vayavou
וַיָּבוֹא	vayavo
וַיִּבֶן	vayiven
וַיְבַקֵּשׁ	vayvakesh
וַיְבֻקַּשׁ	vayvukash
וַיִּבְרַח	vayivrach
וַיְגַדֵּל	vaygadel
וַיִּגְדַּל	vayigdal
וַיְגָרְשׁוּם	vaygarshum
וִידֵאוֹ	video
וַיֵּדַע	vayeda
וַיֹּדַע	vayoda
וַיְהִי	vayhi
וַיּוֹצִאָהּ	vayotsiah
וַיּוֹשִׁעָן	vayoshian
וִיזוּאָלִי	vizuali
וַיִּזְכֹּר	vayizkor
וַיִּזְעֲקוּ	vayizaku
וַיַּחֲזֶק	vayachazek
וַיְחַזֵּק	vaychazek
וַיֶּחֱזַק	vayechezak
וַיִּטְמְנֵהוּ	vayitmnehu
וְיֶטְנָאם	vyetnam
וַיִּירָא	vayira
וַיַּךְ	vayach
וִילוֹן	vilon
וַיֵּלֶךְ	vayelech
וִילְנָה	vilna
וַיָּמָת	vayamot
וִינָה	vina
וַיִּנְהַג	vayinhag
וַיָּנָס	vayanos
וִיסְקִי	viski
וַיַּסְתֵּר	vayaster
וַיִּסָּתֵר	vayisater
וַיַּעַן	vayaan
וַיַּעַשׂ	vayaas
וַיִּפְגְּשֵׁהוּ	vayifgshehu
וַיִּפֶן	vayifen
וַיֵּצֵא	vayetse
וְיָצָא	vyatsa
וַיִּקַּח	vayikach
וִיקִי	viki
וִיקִימִילּוֹנִים	vikimilonim
וִיקִימִלּוֹן	vikimilon
וִיקִיפֶּדְיָה	vikipedya
וִיקִיפֶּדְיוֹת	vikipedyot
וַיָּקָם	vayakom
וַיִּקְרָא	vayikra
וַיַּרְא	vayar
וַיֵּרָא	vayera
וַיַּרְכִּבֵם	vayarkivem
וַיָּשֶׁב	vayashev
וַיָּשָׁב	vayashov
וַיֵּשֶׁב	vayeshev
וַיִּשְׁבְּ	vayishb
וַיִּשְׁלַח	vayishlach
וַיַּשְׁלִיכֵהוּ	vayashlichehu
וַיִּשְׁמַע	vayishma
וַיְשַׁמַּע	vayshama
וַיִּשְׁמְעוּ	vayishmu
וַיַּשְׁקְ	vayashk
וַיִּשַּׁק	vayishak
וַיִּשְׁתַּחֲוּוּ	vayishtakhavu
וַיִּתֵּן	vayiten
וְכוּ׳	vkhu.
וִכּוּחַ	vikuakh
וְלָקַחְתָּ	vlakachta
־וֹן	-on
וֶנוּס	venus
וֶנְטִילָטוֹר	ventilator
וֶנֶצְיָה	venetsya
וְנָתַתִּי	vnatati
וַעַד	vaad
וְעָדָה	vada
וָפֶל	vafel
וְרָאֲךָ	vraacha
וָרֹד	varod
וֶרֶד	vered
וְרָדִים	vradim
וְרַדְרַד	vradrad
וְרִיד	vrid
וְשָׁאֲלָה	vshaala
וְשָׁלַחְתִּי	vshalachti
וְשִׁלַּחְתִּי	vshilachti
וְשָׂמַח	vsamach
וְשִׂמַּח	vsimach
וְשָׁמְעוּ	vshamu
וְשַׂמְתָּם	vsamtam
וְשַׂמְתֶּם	vsamtem
וְשָׁפַכְתָּ	vshafachta
־וֹת	-ot
וַתֹּאמֶר	vatomer
וַתֹּאמַרְןָ	vatomarna
וַתְּבִאֵהוּ	vatviehu
וַתָּבֹאנָה	vatavona
וַתַּחְמֹל	vatachmol
וָתִיק	vatik
וַתֵּלֶד	vateled
וַתֵּלֶךְ	vatelech
וַתְּמַלֶּאנָה	vatmalena
וַתַּעַל	vataal
וַתִּפְתַּח	vatiftach
וַתִּקָּחֶהָ	vatikacheha
וַתִּקְרָא	vatikra
וִתֵּר	viter
וַתֵּרֶא	vatere
וַתִּרְאֵהוּ	vatirehu
וַתֵּרֶד	vatered
וַתָּשֶׂם	vatasem
זְאֵב	zev
זֹאת	zot
זַבְדִּי	zabdi
זָבָה	zava
זָבָה	zava
זְבוּב	zvuv
זְבוּבִים	zvuvim
זְבוּלוּן	zvulun
זְבֻל	zvul
זֶבְּרָה	zebra
זָבַת	zavat
זַגָּג	zagag
זִגֵּג	zigeg
זֵד	zed
זֶה	ze
זָהָב	zahav
זֵהָה	zeha
זֵהֶה	zehe
זִהָה	ziha
זֹהָה	zoha
זֶהוּ	zehu
זִהוּי	zihui
זִהוּם	zihum
זָהִיר	zahir
זְהִירוּת	zhirut
זִהֵם	zihem
זֹהַם	zoham
זֹהַר	zohar
זֹהַר הַדָּרוֹם	zohar hadarom
זֹהַר הַצָּפוֹן	zohar hatsafon
זֹהַר קָטְבִּי	zohar kotbi
זוֹ	zo
זוּ	zu
זוֹאוֹלוֹגְיָה	zoologya
זוּג	zug
זוּז	zuz
זוּז	zuz
זוֹחֵל	zoel
זוּטָר	zutar
זָוִית	zavit
זוֹל	zol
זוֹלֵג	zoleg
זוּלַת	zulat
זוּלָת	zulat
זוֹנָה	zona
זוֹנֶה	zone
זוֹרֵם	zorem
זָז	zaz
זַחַל	zakhal
זִיו	ziv
זִיּוּן	ziyun
זִיּוּף	ziyuf
זַיָּן&lt;--	zayan
זַיִ״ן	zayin
זַיִן	zayin
זִיֵּן	ziyen
זינים	zeinim
זִיעַ	zia
זִיף	zif
זִיקּוּק	ziquq
ֵזִיקּוּקֵי דִּי-נוּר	zikukei di-nur
זִיקְפָּה	zikpa
זִירָה	zira
זַיִת	zayit
זֵיתָא	zeta
זֵיתִים	zetim
זַךְ	zakh
זָכָה	zakha
זְכוּכִית	zkhukhit
זָכוֹר	zachor
זָכוּר	zachur
זְכוֹר	zchor
זַכּוֹת	zakot
זַכּוּת	zakut
זְכוּת	zkhut
זָכַר	zachar
זָכָר	zachar
זֵכֶר	zecher
זִכָּרוֹן	zikaron
זִכְרִי	zichri
זִכְרֵי	zikhrei
זִכְרִי	zikhri
זְכַרְיָה	zkharya
זְכָרִים	zcharim
ז״ל	ze lshono
ז״ל	z.l.
זִלְפָּה	zilpa
זַמְזַם	zamzam
זָמִין	zamin
זָמַם	zamam
זְמָם	zmam
זְמָן	zman
זְמַנִּים	zmanim
זַמָּר	zamar
זָמַר	zamar
זֶמֶר	zemer
זִמֵּר	zimer
זֻמַּר	zumar
זַמָּרִים	zamarim
זְמָרִים	zmarim
זַן	zan
זָן	zan
זָנָב	zanav
זְנָבוֹ	znavo
זַנְגְּבִיל	zangvil
זְנוּת	znut
זָנַח	zanakh
זְנִיחָה	znikha
זָע	za
זֵעָה	zea
זֵעָה	zea
זַעֲזוּעַ	zaazua
זִעְזֵעַ	zizea
זֻעְזַע	zuza
זָעִיר	zair
זָעַם	zaam
זַעַם	zaam
זָעַף	zaaf
זָעַק	zaak
זָקוּק	zakuk
זָקַן	zaqan
זָקָן	zaqan
זָקֵן	zaqen
זִקְנָה	zikna
זִקְנֵי	zikne
זָקַף	zakaf
זָר	zar
זֵר	zer
זַ׳רְגוֹן	zhargon
זְרוֹעַ	zroa
זָרַח	zarach
זֶרַח	zerakh
זָרִיז	zariz
זְרִיחָה	zrikha
זְרִיקָה	zrika
זְרִיקוֹת	zrikot
זֶרֶם	zerem
זָרַע	zara
זֶרַע	zera
זְרָעִים	zraim
זָרַק	zarak
חַאג׳	khaj
חַאלַבּ	khalab
חַבַּ״דְנִיק	khabadnik
חַבַּדְנִיק	khabadnik
חִבּוּק	khibuk
חָבַט	khavat
חָבִיב	khaviv
חָבִית	khavit
חֲבִיתָה	khavita
חֲבָל	khaval
חֶבֶל	khevel
חִבֵּל	khibel
חַבָּלָה	khabala
חֲבָלָה	khavala
חֲבַצֶלֶת	havatzelet
חֲבָק	khavak
חָבַק	khavaq
חֶבֶק	khevek
חִבֵּק	khibek
חֲבַקּוּק	khavakuk
חָבַר	khavar
חָבֵר	khaver
חֶבֶר	khever
חִבֵּר	khiber
חֻבַּר	khubar
חֲבֵרָה	khavera
חֶבְרָה	khevra
חֶבְרֶה	khevre
חֶבְרוֹן	khevron
חֲבָרוֹת	havarot
חֲבֵרוֹת	haverot
חֲבֵרוּת	haverut
חִבְרוּת	hivrut
חַבְרוּתָא	habruta
חֲבֵרִים	khaverim
חֲבֵר כְּנֶסֶת	khaver kneset
חַג	chag
חַג׳	khaj
חָגָב	chagav
חָגַג	khagag
חַג הָאוּרִים	khag haurim
חַג הַמּוֹלָד	chag hamolad
חֲגוֹרָה	khagora
חַגֵּי־	khagei
חַגַּי	khaggay
חֲגִיגָה	khagiga
חֲגִיגִי	khagigi
חַגִּים	chagim
חַג שָׂמֵחַ	khag sameakh
חַד	had
חָד	had
חַד	had-
חַד אֵיבָר	khad eivar
חַד גּוֹנִי	khad goni
חִדּוּשׁ	khidush
חֲדִירָה	khadira
חַד עַיִן	had-ayin
חִדֶּקֶל	khidekel
חָדַר	khadar
חֶדֶר	kheder
חֲדֵרָה	khadera
חָדְרָה	khadra
חַדְרֵי	khadre
חֲדָרִים	khadarim
חֲדַר־מִיּוּן	khadar-miyun
חָדָשׁ	khadash
חַדֵּשׁ	khadesh
חִדֵּשׁ	khidesh
חֹדֶשׁ	khodesh
חֲדָשׁוֹת	khadashot
חָדְשִׁי	chodshi
חֲדָשִׁים	khadashim
חֳדָשִׁים	khodashim
חוֹב	khov
חוֹבָה	khova
חַוָּה	khava
חָוָה	khava
חִוּוּט	khivut
חוֹזֶה	choze
חִוֵּט	khivet
חוּט	khut
חוֹל	hol
חול	hol
חוּ״ל	hu.l.
חוֹלוֹן	kholon
חוֹלֵל	kholel
חוֹלָם	kholam
חוּם	khum
חוֹמָה	khoma
חוֹנֵךְ	khonekh
חוֹף	khof
חוּץ	khutz
חוּץ מִ־	khuts mi-
חוּץ מִזֶה	khuts mize
חוֹקֵר	khoker
חוֹקֶּרֶת	khokeret
חוּר	ur
חִוֵּר	khiver
חוֹשֵׁב	khoshev
חוֹתֵן	khoten
חֲזִיר	khazir
חָזָ״ל	khazal
חַזָּן	khazan
חָזַק	chazak
חָזָק	chazak
חִזֵּק	chizek
חִזֵּק	khizek
חֹזֶק	khozek
חֻזַּק	khuzak
חֲזָקָה	chazaka
חָזְקָה	chazka
חָזַר	chazar
ח־ז־ר	h-z-r
חֲזָרָה	khazara
חַטָּא	khata
חָטָא	khata
חֵטְא	khet
חִטָּה	khita
חָטוּף	khatuf
חָטוּף	khatuf
חֲטַף סֶגּוֹל	khataf segol
חֲטַף פַּתָּח	khataf patakh
חֲטַף קָמָץ	khataf kamats
חֹטֶר	khoter, hoter
חַי	khay
חַיְדַּק	haydaq
חַיָּה	khaya
חַיָּה	khaya
חִיּוּבִי	khiyuvi
חִיּוּךְ	khiyukh
חַיֵּיהֶם	chayehem
חַיִּים	hayim
חַיִּים	khayim
חַיִּים	khayim
חיים פרטיים	khayim pratiyim
חִיֵּךְ	khiyekh
חַיָּל	khayal
חַיִל	khayil
חִיֵּל	khiyel
חֵיל אֲוִיר	kheil avir
חַיָּלִים	chayalim
חימם	khimem
חֵיפָה	kheifa
חֵיקוֹ	cheko
חִירִיק	khirik
חֵי״ת	khet
חֵית	khet
חַיַּת מַחְמָד	khayat makhmad
חִכָּה	khika
חָכַם	khakham
חָכָם	khakham
חָכְמָה	khokhma
חָכְמִוֹת	khakhamut
חָכְמִים	khakhamim
חֹל	hol
חָל	khal
חָלַב	khalav
חָלָב	khalav
חֵלֶב	khelev
חַלְבָה	khalva
חִלְבָּה	khilba
חֶלְבּוֹן	chelbon
חֲלָבִים	khalavim
חלב ישראל	chalav yisrael
חֶלֶד	kheled
חֹלֶד	kholed
חֻלְדָּה	hulda
חַלָּה	khala
חַלְוָה	khalva
חֲלוֹם	khalom
חֲלוֹמוֹת	khalomot
חַלּוֹן	khalon
חִלּוּן	khilun
חַלּוֹנוֹת	khalonot
חִלּוֹנִי	khiloni
חַלְחֹלֶת	khalkholet
חַלְטוּרָה	khaltura
חֻלְיָה	hulya
חָלִיל	khalil
חָלִילָה	khalila
חֲלִיפָה	khalifa
חִלֵּל	hillel
חָלַם	khalam
חָלָס	halas
חָלַף	khalaf
חֻלְצָה	khultsa
חָלַק	khalak
חָלָק	khalak
חֵלֶק	khelek
חֵלֶק דִּבּוּר	khelek dibur
חֲלֵקֵי־	khalkei-
חֶלְקִי	khelki
חַלָּשׁ	khalash
חַם	kham
חָם	kham
חֹם	khom
חֶמְאָה	khema
חָמַד	khamad
חֶמֶד	khemed
חַמָּה	khama
חֵמָה	khema
חָמוּד	khamud
חָמוּץ	khamutz
חֲמוֹר	khamor
חָמוּר	khamur
חָמוֹת	khamot
חַמִּין	khamin
חֲמִיצָה	chamitzah
חֲמִישִׁי	khamishi
חָמַל	khamal
חֶמְלָה	khemla
חַמָּנִית	chammanit
חָמָס	khamas
חַמְסִין	khamsin
חָמֵץ	khamets
חֹמֶץ	khomets
חִמְצָה	khimtsa
חֻמְצָה	khumtsa
חֻמְצָה	khumtza
חַמְצָן	khamtsan
חַמָּר	chamar
חֲמֹר	chamor
חֶמֶר	chemer
חִמֵּר	chimer
חֹמֶר	chomer
חֹמֶר	khomer
חֲמַרְמֹרֶת	khamarmoret
חָמֵשׁ	khamesh
חֲמִשָּׁה	khamisha
חֲמִשָּׁה עָשָׂר	khamisha asar
חֲמִשִּׁים	khamishim
חֲמֵשׁ עֶשְׂרֵה	khamesh esre
חֵן	chen
חָנָה	hana
חַנָּה	khana
חֲנוֹךְ	khanokh
חִנּוּךְ	khinukh
חִנּוּךְ גּוּפָנִי	khinukh gufani
חִנּוּךְ מְיֻחָד	khinukh myukhad
חִנּוּכֵי־	khinukhei-
חְנוּן	khnun
חְנוּנִית	khnunit
חֲנוּת	khanut
חַנְיוֹן	khanyon
חֲנֻיּוֹת	khanuyot
חָנַךְ	khanakh
חִנֵּךְ	khinekh
חֻנַּךְ	khunakh
חֲנֻכָּה	hanukka
חֲנֻכָּה	khanuka
חֲנֻכִּיָּה	khanukiya
חִנָּם	hinam
חָנַן	hanan
חָנָן	hanan
חָנַק	khanak
חַנְקָן	khankan
חָס	khas
חֶסֶד	khesed
חָסָה	khasa
חָסָה	khasa
חָסִיד	khasid
חֲסִידִי	khasidi
חָסַךְ	khasakh
חָסֵר	khaser
חֹסֶר־אוֹנִים	khoser-onim
חִסָּרוֹן	khisaron
חִפָּה	khipa
חֻפָּה	khupa
חִפּוּשׂ	khipus
חִפּוּשִׁית	khipushit
חֲפִיר	khafir
חָפַף	khafaf
חָפַץ	hafats
חֵפֶץ	hefets
חָפַר	khafar
חֲפַרְפֶּרֶת	hafarperet
חִפֵּשׂ	khipes
חֹפֶשׁ	khofesh
חֻפַּשׁ	khupas
חֻפַּשׁ	khupash
חֻפְשָׁה	khufsha
חָפְשִׁי	khofshi
חָפְשִׁיָּה	khofshiya
חָפְשִׁית	khofshit
חֲצָאִית	khatsait
חֲצוֹצְרָה	khatsotsra
חֲצוֹת	khatsot
חֲצוֹת־הַלֵּיל	khatsot-haleyl
חֲצוֹת־הַלַּיְלָה	khatsot-halayla
חֵצִי	khetsi
חֲצִי־הַלַּיְלָה	khatsi-halayla
חָצִיל	chatsil
חָצִילִים	chatsilim
חֻצְפָּה	chutspa
חֻצְפָּה	khutspa
חֹק	khok
חִקָּה	khika
חֻקָּה	khuka
חֻקִּי	khuki
חַקְלָאוּת	khaklaut
חָקַק	khakak
חָקַר	khakar
חֵקֶר	kheker
חֵקֶר הַדָּגִים	kheker hadagim
חָרָא	hara
חָרַב	kharav
חֶרֶב	kherev
חֻרְבָּן	khurban
חֲרֵדִי	haredi
חֲרֵדִיוֹת	kharediot
חֲרֵדִיּוּת	kharediut
חֲרֵדִים	kharedim
חֲרֵדִית	kharedit
חָרוּב	kharuv
חָרוּת	kharut
חֵרוּת	kherrut
חֵרוּת	kherut
חַרְטוֹם	khartom
חָרִיף	kharif
חֵרֶם	herem
חֶרְמוֹן	khermon
חַרְמָן	kharman
חֶרֶס	kheres
חֲרֹסֶת	kharoset
חֹרֶף	khoref
חֳרָפִים	khorafim
חָרַץ	kharats
חֶרֶק	kherek
חָרַשׁ	kharash
חָרָשׁ	kharash
חֶרֶשׂ	kheres
חֶרֶשׁ	kheresh
חֵרֵשׁ	kheresh
חֹרֶשׁ	khoresh
חָרַת	charat
חָשׁ	khash
חַשָּׁב	khashav
חָשַׁב	khashav
חִשֵּׁב	khishev
ח־שׁ־ב	kh-sh-v
חֻשַּׁב	khushav
חֶשְׁבּוֹן	kheshbon
חֶשְׁבּוֹן אִינְפִינִיטֶסִימָלִי	kheshbon infinitesimali
חֶשְׁבּוֹן דִּיפֶרֶנְצְיָאלִי וְאִינְטֶגְרָלִי	kheshbon diferentsyali vintegrali
חָשׁוּב	khashuv
חָשׁוּד	khashud
חֶשְׁוָן	kheshvan
חֹשֶׁךְ	choshekh
חַשְׁמוֹנַאי	khashmonai
חַשְׁמַל	khashmal
חַשְׁמַלִּי	khashmali
חַשְׁמַלִּית	khashmalit
חַשְׁמָלִית	khashmalit
חַשְׁמָן	khashman
חָשַׂף	khasaf
חֵשֶׁק	kheshek
חָתוּל	khatul
חֲתוּלָה	khatula
חֲתוּלִים	khatulim
חָתוּל נְמֵרִי	khatul nmeri
חָתִיךְ	hatich
חֲתִיכָה	khatikha
חֲתִיכַת	hatichat
חֲתִימָה	khatima
חֲתָךְ	khatakh
חַתָּךְ	khatakh
חָתַךְ	khatakh
חֲתַלְתּוּל	khataltul
חָתָן	khatan
חֹתֵן	khoten
חֲתֻנָּה	khatuna
חֹתְנוֹ	chotno
טִאְטֵא	tite
טֻאְטָא	tuta
טַבָּח	tabakh
טָבַח	tavakh
טֶבַח	tevakh
טָבַל	taval
טֶבַע	teva
טִבְעִי	tivi
טַבַּעַת	tabaat
טְבֶרְיָה	tverya
טֵבֵת	tevet
טִגּוּן	tigun
טִגֵּן	tigen
טֻגַּן	tugan
טֶהֱרָאן	teheran
